symbol,time_open,time_close,side,entry,exit,leverage,pnl_usd,pnl_pct,score,strategy,reason,balance
BTC/USDT,2026-03-01 02:01,2026-03-01 06:10,buy,67911.80050099999,67040.81434475331,6.0,-8.175152976253587,-0.08175152976253587,35.0,Breakout,SL (Hit Price/ROE),
BTC/USDT,2026-03-01 16:49,2026-03-02 00:44,sell,66085.47079200001,66640.32,7.0,-6.4371533431674814,-0.06437153343167482,-26.0,Breakout,SIGNAL (1M: Phá đỉnh (Vol: DOT_BIEN); 3M: Phá đỉnh (Vol: DOT_BIEN); 5M: Phá đỉnh (Vol: TANG); 15M: Phá đỉnh (Vol: THAP)),
BTC/USDT,2026-03-02 14:49,2026-03-02 15:20,buy,67007.750105,68741.06,6.0,15.04038287168811,0.1504038287168811,29.0,Breakout,TP (Hit Price/ROE),
BTC/USDT,2026-03-02 15:20,2026-03-03 02:02,buy,68744.803793,68518.03,6.0,-2.4592663342193593,-0.024592663342193594,61.0,Breakout,SIGNAL (1M: Phá gáy (Vol: DOT_BIEN); 3M: Phá gáy (Vol: DOT_BIEN); 5M: Phá gáy (Vol: DOT_BIEN); 15M: Phá gáy (Vol: THAP); 30M: Phá gáy (Vol: THAP)),
BTC/USDT,2026-03-03 09:28,2026-03-03 12:09,sell,66618.107523,67531.62,8.0,-11.610140233234397,-0.11610140233234396,-26.0,Breakout,SL (Hit Price/ROE),
BTC/USDT,2026-03-03 14:49,2026-03-03 15:31,sell,66279.451392,67226.89113031948,6.0,-9.056773510534796,-0.09056773510534796,-44.0,Breakout,SL (Hit Price/ROE),
BTC/USDT,2026-03-03 16:25,2026-03-03 16:38,buy,68961.48545899999,67998.46194497985,6.0,-8.858794403371935,-0.08858794403371935,27.0,Breakout,SL (Hit Price/ROE),
BTC/USDT,2026-03-04 07:46,2026-03-04 08:46,buy,69105.779887,70500.0,8.0,15.500127384769218,0.1550012738476922,39.0,Breakout,TP (Hit Price/ROE),
BTC/USDT,2026-03-04 08:46,2026-03-04 14:31,buy,70257.025,72299.36297982391,4.0,11.307807922831453,0.11307807922831453,57.0,Breakout,TP (Hit Price/ROE),
BTC/USDT,2026-03-04 14:31,2026-03-04 14:45,buy,72339.073184,71300.1,7.0,-10.613781404554294,-0.10613781404554294,63.0,Breakout,SL (Hit Price/ROE),
BTC/USDT,2026-03-04 15:26,2026-03-05 05:58,buy,72698.22909600001,72264.13,7.0,-4.739873031002391,-0.04739873031002391,57.0,Breakout,SIGNAL (1M: Phá gáy (Vol: DOT_BIEN); 3M: Phá gáy (Vol: TANG); 5M: Phá gáy (Vol: TANG); 15M: Phá gáy (Vol: TANG); 30M: Phá gáy (Vol: TANG)),
BTC/USDT,2026-03-05 07:52,2026-03-05 09:12,sell,71824.456836,72775.2,8.0,-11.229631508619677,-0.11229631508619678,-26.0,Breakout,SL (Hit Price/ROE),
